city,date,value,delta
"Baltimore city, Maryland",2005,0.25524945063888665,
"Baltimore city, Maryland",2006,0.25921460898436727,0.003965158345480613
"Baltimore city, Maryland",2007,0.2456093991381413,-0.013605209846225957
"Baltimore city, Maryland",2008,0.22116909459708647,-0.024440304541054836
"Baltimore city, Maryland",2009,0.27751186083289403,0.056342766235807556
"Baltimore city, Maryland",2010,0.24884243430692585,-0.028669426525968184
"Baltimore city, Maryland",2011,0.3114944249045873,0.06265199059766144
"Baltimore city, Maryland",2012,0.2803214352457485,-0.0311729896588388
"Baltimore city, Maryland",2013,0.23355484711059224,-0.046766588135156245
"Baltimore city, Maryland",2014,0.2020472887605394,-0.03150755835005284
"Baltimore city, Maryland",2015,0.21302701997128312,0.01097973121074372
"Baltimore city, Maryland",2016,0.20743670073442555,-0.005590319236857572
"Baltimore city, Maryland",2017,0.18557439010422633,-0.021862310630199222
"Baltimore city, Maryland",2018,0.1766593845240985,-0.008915005580127838
"Baltimore city, Maryland",2019,0.11082566779923207,-0.06583371672486642
"Baton Rouge city, Louisiana",2005,0.18383610986042323,
"Baton Rouge city, Louisiana",2006,0.20295532112938255,0.019119211268959324
"Baton Rouge city, Louisiana",2007,0.1513317892298784,-0.051623531899504166
"Baton Rouge city, Louisiana",2008,0.09955403547597493,-0.05177775375390346
"Baton Rouge city, Louisiana",2009,0.1519919931051739,0.052437957629198964
"Baton Rouge city, Louisiana",2010,0.16635626124562014,0.014364268140446251
"Baton Rouge city, Louisiana",2011,0.17961195928753182,0.013255698041911679
"Baton Rouge city, Louisiana",2012,0.13559439589402136,-0.044017563393510456
"Baton Rouge city, Louisiana",2013,0.19812774481855305,0.06253334892453169
"Baton Rouge city, Louisiana",2014,0.12796651214280771,-0.07016123267574534
"Baton Rouge city, Louisiana",2015,0.14549293824425366,0.017526426101445947
"Baton Rouge city, Louisiana",2016,0.18455899739891227,0.039066059154658606
"Baton Rouge city, Louisiana",2017,0.2314952239601172,0.04693622656120494
"Baton Rouge city, Louisiana",2018,0.13247964587779623,-0.09901557808232098
"Baton Rouge city, Louisiana",2019,0.11643610614300835,-0.01604353973478788
"Charleston city, South Carolina",2005,0.07419898819561552,
"Charleston city, South Carolina",2006,0.06455154243056319,-0.009647445765052332
"Charleston city, South Carolina",2007,0.12675227918831486,0.06220073675775167
"Charleston city, South Carolina",2008,0.11339901477832512,-0.01335326440998974
"Charleston city, South Carolina",2009,0.17025862068965517,0.05685960591133005
"Charleston city, South Carolina",2010,0.13269575612671847,-0.0375628645629367
"Charleston city, South Carolina",2011,0.19301901536858557,0.0603232592418671
"Charleston city, South Carolina",2012,0.15721504772599662,-0.035803967642588946
"Charleston city, South Carolina",2013,0.12823752368919772,-0.028977524036798902
"Charleston city, South Carolina",2014,0.11434108527131782,-0.013896438417879894
"Charleston city, South Carolina",2015,0.06717776712985146,-0.04716331814146636
"Charleston city, South Carolina",2016,0.09022899370495392,0.02305122657510246
"Charleston city, South Carolina",2017,0.036009789068873095,-0.05421920463608083
"Charleston city, South Carolina",2018,0.08685001670192628,0.05084022763305319
"Charleston city, South Carolina",2019,0.04659643435980551,-0.04025358234212077
"Chattanooga city, Tennessee",2005,0.14315496872828354,
"Chattanooga city, Tennessee",2006,0.17018479857728291,0.027029829848999376
"Chattanooga city, Tennessee",2007,0.15710515349354076,-0.013079645083742153
"Chattanooga city, Tennessee",2008,0.18958742632612965,0.03248227283258889
"Chattanooga city, Tennessee",2009,0.2874571624400274,0.09786973611389774
"Chattanooga city, Tennessee",2010,0.21392111368909514,-0.07353604875093225
"Chattanooga city, Tennessee",2011,0.37466936362221875,0.16074824993312362
"Chattanooga city, Tennessee",2012,0.2016496018202503,-0.17301976180196846
"Chattanooga city, Tennessee",2013,0.18897756361993676,-0.01267203820031354
"Chattanooga city, Tennessee",2014,0.1498167379352474,-0.03916082568468934
"Chattanooga city, Tennessee",2015,0.13170216975532548,-0.018114568179921936
"Chattanooga city, Tennessee",2016,0.13691087945969754,0.0052087097043720665
"Chattanooga city, Tennessee",2017,0.07794871794871795,-0.05896216151097959
"Chattanooga city, Tennessee",2018,0.15546494804682362,0.07751623009810567
"Chattanooga city, Tennessee",2019,0.14281426341697684,-0.012650684629846781
"Detroit city, Michigan",2005,0.40285714285714286,
"Detroit city, Michigan",2006,0.4143973518973519,0.011540209040209026
"Detroit city, Michigan",2007,0.4090032273620952,-0.0053941245352566725
"Detroit city, Michigan",2008,0.3841023211747987,-0.024900906187296512
"Detroit city, Michigan",2009,0.4694041995165342,0.08530187834173553
"Detroit city, Michigan",2010,0.49281932319243504,0.023415123675900817
"Detroit city, Michigan",2011,0.4867024688868931,-0.00611685430554193
"Detroit city, Michigan",2012,0.46871355060034303,-0.017988918286550082
"Detroit city, Michigan",2013,0.42435879116953634,-0.04435475943080669
"Detroit city, Michigan",2014,0.33806469459380023,-0.08629409657573611
"Detroit city, Michigan",2015,0.3458626439976232,0.007797949403822946
"Detroit city, Michigan",2016,0.2788059937845167,-0.06705665021310647
"Detroit city, Michigan",2017,0.27944611629032595,0.0006401225058092486
"Detroit city, Michigan",2018,0.26793005320245805,-0.0115160630878679
"Detroit city, Michigan",2019,0.2099307802755931,-0.057999272926864964
"Riverside city, California",2005,0.1819902897798406,
"Riverside city, California",2006,0.15216681895313927,-0.029823470826701337
"Riverside city, California",2007,0.17861870782344774,0.02645188887030847
"Riverside city, California",2008,0.20660392933795607,0.02798522151450833
"Riverside city, California",2009,0.24582820024638818,0.03922427090843211
"Riverside city, California",2010,0.24720266765468693,0.0013744674082987463
"Riverside city, California",2011,0.2870125079641863,0.039809840309499384
"Riverside city, California",2012,0.2720461887414943,-0.014966319222692037
"Riverside city, California",2013,0.2680847190192985,-0.003961469722195798
"Riverside city, California",2014,0.2511418504502153,-0.01694286856908317
"Riverside city, California",2015,0.15465379291718714,-0.09648805753302817
"Riverside city, California",2016,0.1613301796872242,0.006676386770037068
"Riverside city, California",2017,0.13707697234973845,-0.02425320733748576
"Riverside city, California",2018,0.09508345554857182,-0.04199351680116663
"Riverside city, California",2019,0.1497249803557397,0.05464152480716787
"Rochester city, Minnesota",2005,,
"Rochester city, Minnesota",2006,0.127027346987096,
